kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	com.squareup.picasso3.DeferredRequestCreator	null	callback	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/DeferredRequestCreator.java	ASSIGN_FIELD_NULLABLE	nullable	com.squareup.picasso3.DeferredRequestCreator	cancel()
PARAMETER	com.squareup.picasso3.Action	Action(com.squareup.picasso3.Picasso,com.squareup.picasso3.Target,com.squareup.picasso3.Request)	wrapper	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java	PASS_NULLABLE	nullable	com.squareup.picasso3.RemoteViewsAction	RemoteViewsAction(com.squareup.picasso3.Picasso,com.squareup.picasso3.Request,com.squareup.picasso3.Target,com.squareup.picasso3.Callback)
FIELD	com.squareup.picasso3.RemoteViewsAction	null	callback	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RemoteViewsAction.java	ASSIGN_FIELD_NULLABLE	nullable	com.squareup.picasso3.RemoteViewsAction	cancel()
METHOD	com.squareup.picasso3.Action	getPriority()	null	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Action.java	RETURN_NULLABLE	nullable	com.squareup.picasso3.Action	getPriority()
PARAMETER	com.squareup.picasso3.BitmapHunter	shouldRetry(boolean,android.net.NetworkInfo)	info	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/BitmapHunter.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Dispatcher	performRetry(com.squareup.picasso3.BitmapHunter)
PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	load(android.net.Uri)
PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	load(java.lang.String)
PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	load(java.io.File)
PARAMETER	com.squareup.picasso3.RequestCreator	RequestCreator(com.squareup.picasso3.Picasso,android.net.Uri,int)	uri	1	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestCreator.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	load(int)
METHOD	com.squareup.picasso3.Picasso	quickMemoryCacheCheck(java.lang.String)	null	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	RETURN_NULLABLE	nullable	com.squareup.picasso3.Picasso	quickMemoryCacheCheck(java.lang.String)
PARAMETER	com.squareup.picasso3.Picasso	deliverAction(com.squareup.picasso3.RequestHandler.Result,com.squareup.picasso3.Action,java.lang.Exception)	e	2	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	resumeAction(com.squareup.picasso3.Action)
PARAMETER	com.squareup.picasso3.Utils	log(java.lang.String,java.lang.String,java.lang.String,java.lang.String)	extras	3	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Utils.java	PASS_NULLABLE	nullable	com.squareup.picasso3.Picasso	deliverAction(com.squareup.picasso3.RequestHandler.Result,com.squareup.picasso3.Action,java.lang.Exception)
FIELD	com.squareup.picasso3.Picasso$Builder	null	callFactory	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	METHOD_NO_INIT	nullable	com.squareup.picasso3.Picasso$Builder	null
FIELD	com.squareup.picasso3.Picasso$Builder	null	service	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	METHOD_NO_INIT	nullable	com.squareup.picasso3.Picasso$Builder	null
FIELD	com.squareup.picasso3.Picasso$Builder	null	cache	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	METHOD_NO_INIT	nullable	com.squareup.picasso3.Picasso$Builder	null
FIELD	com.squareup.picasso3.Picasso$Builder	null	listener	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	METHOD_NO_INIT	nullable	com.squareup.picasso3.Picasso$Builder	null
FIELD	com.squareup.picasso3.Picasso$Builder	null	defaultBitmapConfig	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/Picasso.java	METHOD_NO_INIT	nullable	com.squareup.picasso3.Picasso$Builder	null
METHOD	com.squareup.picasso3.RequestHandler	createBitmapOptions(com.squareup.picasso3.Request)	null	null	/home/nima/Developer/nullness-benchmarks/picasso/picasso/src/main/java/com/squareup/picasso3/RequestHandler.java	RETURN_NULLABLE	nullable	com.squareup.picasso3.RequestHandler	createBitmapOptions(com.squareup.picasso3.Request)
